"word" "freq"
"shes" "shes" 26
"times" "times" 26
"wants" "wants" 26
"wasnt" "wasnt" 26
"able" "able" 25
"along" "along" 25
"body" "body" 25
"boy" "boy" 25
"change" "change" 25
"daily" "daily" 25
"enjoying" "enjoying" 25
"forward" "forward" 25
"helps" "helps" 25
"hit" "hit" 25
"outside" "outside" 25
"point" "point" 25
"prefer" "prefer" 25
"spot" "spot" 25
"store" "store" 25
"town" "town" 25
"using" "using" 25
"usually" "usually" 25
"wine" "wine" 25
"write" "write" 25
"yesterday" "yesterday" 25
"amount" "amount" 24
"awesome" "awesome" 24
"bought" "bought" 24
"cut" "cut" 24
"desk" "desk" 24
"eating" "eating" 24
"favourite" "favourite" 24
"gets" "gets" 24
"kuwayt" "kuwayt" 24
"organic" "organic" 24
"pick" "pick" 24
"play" "play" 24
"set" "set" 24
"sipping" "sipping" 24
"space" "space" 24
"starting" "starting" 24
"tastes" "tastes" 24
"walking" "walking" 24
"welcome" "welcome" 24
"add" "add" 23
"ako" "ako" 23
"become" "become" 23
"brought" "brought" 23
"care" "care" 23
"celebrate" "celebrate" 23
"chicken" "chicken" 23
"comedians" "comedians" 23
"everyday" "everyday" 23
"front" "front" 23
"grounds" "grounds" 23
"healthy" "healthy" 23
"mcdonalds" "mcdonalds" 23
"ordered" "ordered" 23
"pay" "pay" 23
"phone" "phone" 23
"pour" "pour" 23
"reason" "reason" 23
"rest" "rest" 23
"super" "super" 23
"top" "top" 23
"waiting" "waiting" 23
"weight" "weight" 23
"baby" "baby" 22
"blue" "blue" 22
"books" "books" 22
"brewed" "brewed" 22
"cause" "cause" 22
"chat" "chat" 22
"college" "college" 22
"dinner" "dinner" 22
"excellent" "excellent" 22
"finish" "finish" 22
"floor" "floor" 22
"kids" "kids" 22
"library" "library" 22
"lots" "lots" 22
"soup" "soup" 22
"takes" "takes" 22
"tried" "tried" 22
"weeks" "weeks" 22
"worth" "worth" 22
"youll" "youll" 22
"blend" "blend" 21
"brain" "brain" 21
"charity" "charity" 21
"different" "different" 21
"friday" "friday" 21
"listen" "listen" 21
"moment" "moment" 21
"others" "others" 21
"rain" "rain" 21
"saying" "saying" 21
"staff" "staff" 21
"stomach" "stomach" 21
"thru" "thru" 21
"thursday" "thursday" 21
"true" "true" 21
"vintage" "vintage" 21
"weather" "weather" 21
"worst" "worst" 21
"added" "added" 20
"atgrams" "atgrams" 20
"bottle" "bottle" 20
"busy" "busy" 20
"caramel" "caramel" 20
"dark" "dark" 20
"dog" "dog" 20
"door" "door" 20
"dream" "dream" 20
"dude" "dude" 20
"either" "either" 20
"fast" "fast" 20
"glass" "glass" 20
"illy" "illy" 20
"january" "january" 20
"joe" "joe" 20
"lady" "lady" 20
"low" "low" 20
"men" "men" 20
"natural" "natural" 20
"pls" "pls" 20
