"word" "freq"
"line" 37
"loves" 37
"opens" 37
"pic" 37
"playlist" 37
"tmobile" 37
"ago" 36
"bag" 36
"club" 36
"comes" 36
"del" 36
"half" 36
"idea" 36
"kid" 36
"kim" 36
"morning" 36
"outfits" 36
"plus" 36
"scarlet" 36
"sheeran" 36
"support" 36
"thoughts" 36
"told" 36
"weekend" 36
"williamsbig" 36
"decade" 35
"disappointing" 35
"edit" 35
"else" 35
"episode" 35
"expensive" 35
"human" 35
"iggy" 35
"injections" 35
"madonna" 35
"mars" 35
"photo" 35
"power" 35
"skin" 35
"use" 35
"winner" 35
"wont" 35
"agree" 34
"beauty" 34
"brand" 34
"bring" 34
"date" 34
"different" 34
"game" 34
"living" 34
"sometimes" 34
"stay" 34
"stole" 34
"suck" 34
"sweet" 34
"though" 34
"tomorrow" 34
"turn" 34
"wants" 34
"awesome" 33
"cat" 33
"charlie" 33
"circlesbut" 33
"dua" 33
"eye" 33
"funny" 33
"house" 33
"idk" 33
"joe" 33
"lets" 33
"minajswish" 33
"needs" 33
"perryby" 33
"pressurebbc" 33
"reason" 33
"relevant" 33
"sad" 33
"stuff" 33
"sydney" 33
"wrong" 33
"boy" 32
"bruno" 32
"care" 32
"chance" 32
"cosmetic" 32
"fav" 32
"havent" 32
"iconic" 32
"lana" 32
"plan" 32
"singers" 32
"singles" 32
"tunein" 32
"wtf" 32
"asked" 31
"causing" 31
"coldkaty" 31
"enough" 31
"fact" 31
"forever" 31
"heidi" 31
"hooded" 31
"jennifer" 31
"mad" 31
"major" 31
"player" 31
"procedures" 31
"puth" 31
"rhytm" 31
"rooftop" 31
"tune" 31
"williamskaty" 31
"young" 31
"albums" 30
"avideocalvin" 30
"avideopranking" 30
"baby" 30
"boss" 30
"crazy" 30
"cut" 30
"draft" 30
"drake" 30
"friend" 30
"harry" 30
"jason" 30
"jesus" 30
"link" 30
"orlando" 30
"sleep" 30
"sound" 30
"special" 30
"straight" 30
"talks" 30
"urban" 30
"using" 30
"wonder" 30
"wouldnt" 30
"awards" 29
"breaking" 29
"changed" 29
"currently" 29
